id,gene_id,mechanism_id,relation_type,polarity,evidence_for_count,evidence_against_count,evidence_strength_aggregate,context_scope,status,created_at,last_updated
GME-00001,GEN-0001,MEC-0003,participates_in,supporting,,,0.0000,,active,2026-04-27T21:14:42+00:00,2026-04-27T21:15:02+00:00
GME-00002,GEN-0001,MEC-0004,participates_in,supporting,,,0.0000,,active,2026-04-27T21:14:42+00:00,2026-04-27T21:15:02+00:00
GME-00003,GEN-0002,MEC-0003,participates_in,supporting,,,0.0000,,active,2026-04-27T21:14:42+00:00,2026-04-27T21:15:02+00:00
GME-00004,GEN-0003,MEC-0006,participates_in,supporting,,,0.0000,,active,2026-04-27T21:14:42+00:00,2026-04-27T21:15:02+00:00
GME-00005,GEN-0003,MEC-0007,participates_in,supporting,,,0.0000,,active,2026-04-27T21:14:42+00:00,2026-04-27T21:15:02+00:00
GME-00006,GEN-0004,MEC-0003,participates_in,supporting,,,0.0000,,active,2026-04-27T21:14:42+00:00,2026-04-27T21:15:02+00:00
GME-00007,GEN-0004,MEC-0006,participates_in,supporting,,,0.0000,,active,2026-04-27T21:14:42+00:00,2026-04-27T21:15:02+00:00
GME-00008,GEN-0004,MEC-0012,participates_in,supporting,,,0.0000,,active,2026-04-27T21:14:42+00:00,2026-04-27T21:15:02+00:00
GME-00009,GEN-0005,MEC-0006,participates_in,supporting,,,0.0000,,active,2026-04-27T21:14:42+00:00,2026-04-27T21:15:02+00:00
GME-00010,GEN-0005,MEC-0009,participates_in,supporting,,,0.0000,,active,2026-04-27T21:14:42+00:00,2026-04-27T21:15:02+00:00
GME-00011,GEN-0006,MEC-0009,participates_in,supporting,,,0.0000,,active,2026-04-27T21:14:42+00:00,2026-04-27T21:15:02+00:00
GME-00012,GEN-0006,MEC-0015,participates_in,supporting,,,0.0000,,active,2026-04-27T21:14:42+00:00,2026-04-27T21:15:02+00:00
GME-00013,GEN-0007,MEC-0009,participates_in,supporting,,,0.0000,,active,2026-04-27T21:14:42+00:00,2026-04-27T21:15:02+00:00
GME-00014,GEN-0007,MEC-0015,participates_in,supporting,,,0.0000,,active,2026-04-27T21:14:42+00:00,2026-04-27T21:15:02+00:00
GME-00015,GEN-0008,MEC-0015,participates_in,supporting,,,0.0000,,active,2026-04-27T21:14:42+00:00,2026-04-27T21:15:02+00:00
GME-00016,GEN-0008,MEC-0009,participates_in,supporting,,,0.0000,,active,2026-04-27T21:14:42+00:00,2026-04-27T21:15:02+00:00
GME-00017,GEN-0009,MEC-0006,participates_in,supporting,,,0.0000,,active,2026-04-27T21:14:42+00:00,2026-04-27T21:15:02+00:00
GME-00018,GEN-0973,MEC-0007,participates_in,supporting,,,0.0000,,active,2026-04-27T21:14:42+00:00,2026-04-27T21:15:02+00:00
GME-00019,GEN-0974,MEC-0007,participates_in,supporting,,,0.0000,,active,2026-04-27T21:14:42+00:00,2026-04-27T21:15:02+00:00
GME-00020,GEN-0743,MEC-0006,participates_in,supporting,,,0.0000,,active,2026-04-27T21:14:42+00:00,2026-04-27T21:15:02+00:00
GME-00021,GEN-0728,MEC-0006,participates_in,supporting,,,0.0000,,active,2026-04-27T21:14:42+00:00,2026-04-27T21:15:02+00:00
GME-00022,GEN-0729,MEC-0006,participates_in,supporting,,,0.0000,,active,2026-04-27T21:14:42+00:00,2026-04-27T21:15:02+00:00
